,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
,Generator Electrical Output,Turbine Shaft Output,Gross Electrical Output,Net Electrical Output,Rotor Speed,Shaft Speed,Compressor Speed,Turbine Inlet Temperature 1,Turbine Inlet Temperature 2,Turbine Inlet Temperature 3,Turbine Inlet Temperature 4,Turbine Inlet Temperature 5,Turbine Inlet Temperature 6,Turbine Inlet Temperature 7,Turbine Inlet Temperature 8,Turbine Inlet Temperature 9,Turbine Inlet Temperature 10,Turbine Exhaust Temperature 1,Turbine Exhaust Temperature 2,Turbine Exhaust Temperature 3,Turbine Exhaust Temperature 4,Turbine Exhaust Temperature 5,Turbine Exhaust Temperature 6,Turbine Exhaust Temperature 7,Turbine Exhaust Temperature 8,Turbine Exhaust Temperature 9,Turbine Exhaust Temperature 10,Compressor Inlet Temperature 1,Compressor Inlet Temperature 2,Compressor Inlet Temperature 3,Compressor Inlet Temperature 4,Compressor Inlet Temperature 5,Compressor Outlet Temperature 1,Compressor Outlet Temperature 2,Compressor Outlet Temperature 3,Compressor Outlet Temperature 4,Compressor Outlet Temperature 5,Compressor Inlet Pressure 1,Compressor Inlet Pressure 2,Compressor Inlet Pressure 3,Compressor Inlet Pressure 4,Compressor Inlet Pressure 5,Compressor Outlet Pressure 1,Compressor Outlet Pressure 2,Compressor Outlet Pressure 3,Compressor Outlet Pressure 4,Compressor Outlet Pressure 5,Steam Pressure Stage 1,Steam Pressure Stage 2,Steam Pressure Stage 3
,MW,MW,MW,MW,rpm,rpm,rpm,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,kPa,kPa,kPa,kPa,kPa,kPa,kPa,kPa,kPa,kPa,kPa,kPa,kPa
2025/6/10 0:00,71.26,51.37,64.7,58.25,8271.54,8737.31,9144.88,1132.12,1158.67,1108.14,1091.79,1040.68,1031.3,1040.25,1051.09,1209.39,1121.85,534.18,527.34,453.51,614.13,465.2,535.78,587.96,479.1,490.12,528.58,37.19,16.15,39.51,29.43,39.24,245.06,284.8,218.87,348.1,192.95,107.56,96.68,109.85,106.53,109.2,1356.97,1332.57,1596.93,1129.69,1189.07,2541.27,4026.5,1376.39
2025/6/10 0:00,85.23,90.55,51.65,76.83,8851.55,8227.92,8869.66,1148.42,1154.07,1129.66,1072.67,1145.89,1155.71,1051.07,1127.15,1102.56,1106.48,504.09,526.48,581.28,605.12,502.38,501.48,475.8,496.12,455.15,555.74,25.45,30.15,22.19,24.61,36.92,248.48,358.14,339.99,343.34,352.85,101.72,96.58,100.11,104.84,102.24,1440.34,1573.16,1287.44,1151.84,1203.75,816.83,2064.58,501.63
2025/6/10 0:00,44.69,51.35,44.2,101.86,9486.43,9028.04,8209.05,1215.21,1158.01,1204.21,1084,1036.52,1032.09,1168,1071.25,1166.83,1122.18,487.96,562.94,535.11,461.76,610.82,544.74,506.51,577.24,544.58,512.62,37.48,28.64,27.3,27.37,20.82,250.63,270.08,205.88,357.43,341.55,99.06,101.88,97.16,106.78,106.08,1336.11,1364.34,1265.39,1439.38,1583.26,984.23,3758.36,4144.43
2025/6/10 0:00,45.69,57.56,51.72,82.97,9196.43,9713.35,8267.08,1040.99,1161.17,1047.71,1147.8,1117.57,1078.05,1104.53,1080.6,1092.8,1187.89,549.21,459.18,560.43,608.45,464.54,596.07,517.39,581.42,488.98,542.13,37.58,26.91,24.37,32.66,18.49,304.84,229.08,378.86,272.54,297.27,104.46,97.8,107.1,96.94,95.28,1398.06,1439.94,1569.15,1207.66,1576.82,4053.09,3151.94,2109.62
2025/6/10 0:00,63.07,44.59,89.7,78.37,9566.07,8216.98,9516.71,1141.58,1189.81,1080.77,1096.58,1043.16,1180.99,1045.02,1089.87,1167.34,1216.92,571.42,501.22,569.65,589.48,495.96,554.04,547.09,451.92,570.01,566.35,27.96,38.34,32.8,22.45,32.63,186.46,278.88,252.77,273.59,204.69,98.72,101.31,99.58,103.73,97.13,1582.95,1311.89,1594.4,1226.74,1468.55,1356.28,2003.26,3728.22
2025/6/10 0:00,45.51,56.33,58.58,86.92,7731.52,9663.04,7888.36,1094.62,1121,1205.9,1075.2,1085.44,1196.22,1149.07,1042.45,1054.94,1130.25,491.47,565.33,461.5,473.1,522.88,529.16,578.44,481.79,618.47,602.68,15.18,20.74,22.33,33.73,19.57,297.67,349.17,250.05,190.87,303.06,108.56,102.99,109.83,108.1,98.81,1478.67,1317.01,1463.43,1151.47,1401.64,4185.57,4358.84,3854.47
2025/6/10 0:00,59.35,66.27,58.46,104.91,7956.79,9372.11,7590.95,1077.4,1173.44,1083.04,1136.71,1058.74,1211.57,1194.39,1173.28,1158.56,1214.76,491.25,522.52,492.03,535.41,523.72,461.4,470.17,458.53,585.88,539.71,20.65,33.84,35.7,36.42,35.24,359.43,262.35,197.26,226.14,354.27,97.4,109.6,107.13,100.02,102.65,1346.36,1388.54,1274.32,1519.17,1290.71,1493.06,731.99,3527.58
2025/6/10 0:00,63.54,51.86,104.36,104.69,9480.29,8683.71,8994.96,1162.93,1150.2,1177.1,1096.18,1210.53,1192.43,1165.49,1043.38,1062.99,1112.18,550.25,550.54,513.11,505.28,452.1,582.46,584.33,546.25,453.7,572.69,29.55,39.42,38.9,33.41,36.7,278.22,288.73,259.47,203.87,255.77,100.52,109.36,96.93,104.4,101.04,1299.15,1481.46,1577.85,1475.16,1560.33,4165.34,1829.16,4254.91
2025/6/10 0:00,60.6,43.68,53.13,41.8,9401.7,9339.4,7756.51,1180.96,1159.44,1041.53,1077.92,1065.87,1079.05,1156.72,1105.4,1199.5,1140.51,545.17,614.44,608.6,595.75,549.09,500.14,579.72,509.7,561,465.52,27.41,27.81,32.66,17.77,22.81,345.36,357.08,367.72,309.5,337.2,101.77,100.98,108.05,103.22,106.84,1563.33,1186.56,1174.9,1442.75,1111.2,1704.64,2470.75,962.18
2025/6/10 0:00,87.5,42.58,106.84,92.05,9394.1,7594.13,9342.39,1129.35,1119.57,1065.18,1206.88,1132.38,1186.54,1192.28,1138.79,1133.7,1174.83,547.87,605,498.49,581.28,525.36,615.73,571.32,477.74,505.89,574.55,23.63,35.55,39.02,37.65,39.11,277.22,343.77,237.57,374.25,293.18,100.88,103.25,98.12,102.23,107.76,1194.23,1139.7,1200.81,1259.49,1232.12,4424.71,1771.2,4207.92
