,1,2,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
,Generator Electrical Output,Turbine Shaft Output,Steam Pressure Stage 3,Steam Pressure Stage 4,Steam Pressure Stage 5,Steam Temperature Stage 1,Steam Temperature Stage 2,Steam Temperature Stage 3,Steam Temperature Stage 4,Steam Temperature Stage 5,Steam Temperature Stage 6,Steam Temperature Stage 7,Steam Temperature Stage 8,Fuel Flow 1,Fuel Flow 2,Fuel Flow 3,Fuel Flow 4,Fuel Flow 5,Lube Oil Temperature 1,Lube Oil Temperature 2,Lube Oil Temperature 3,Lube Oil Temperature 4,Lube Oil Temperature 5,Lube Oil Pressure 1,Lube Oil Pressure 2,Lube Oil Pressure 3,Lube Oil Pressure 4,Lube Oil Pressure 5,Bearing Vibration 1,Bearing Vibration 2,Bearing Vibration 3,Bearing Vibration 4,Bearing Vibration 5,Bearing Vibration 6,Bearing Vibration 7,Bearing Vibration 8,Bearing Vibration 9,Bearing Vibration 10,Valve Position 1,Valve Position 2,Valve Position 3,Valve Position 4,Valve Position 5,Valve Position 6,Valve Position 7,Valve Position 8,Valve Position 9,Valve Position 10,Guide Vane Angle 1,Guide Vane Angle 2,Guide Vane Angle 3,Guide Vane Angle 4,Guide Vane Angle 5
,MW,MW,kPa,kPa,kPa,°C,°C,°C,°C,°C,°C,°C,°C,kg/h,kg/h,kg/h,kg/h,kg/h,°C,°C,°C,°C,°C,kPa,kPa,kPa,kPa,kPa,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,%,%,%,%,%,%,%,%,%,%,°,°,°,°,°
2025/6/10 0:00,71.26,51.37,1376.39,2098.96,531.41,436.13,497.83,412.48,441.02,502.85,426.24,562.66,460.97,4945.64,5360.43,5448.58,2312.41,3201.06,67.92,57.43,49.03,64.27,45.25,298.57,202.43,226.81,277.46,217.63,2.8,1.43,4.86,2.29,1.4,4.61,2.4,2.71,2.59,1.62,96.88,98.61,47.67,24.87,55.34,70.08,57.67,89.25,64.8,82.52,25.79,28.45,7.31,11.6,8.95
2025/6/10 0:00,85.23,90.55,501.63,3683.19,1957.45,506.5,456.52,562.57,538.85,494.23,496.92,512.86,529.94,2151.57,1867.53,2366.35,4788.22,4197,46.69,58.05,71.66,66.39,58.68,262.34,225.26,282.79,296.64,215.46,1.43,0.69,4.77,2.17,1.28,3.76,3.22,3.88,2.31,3.41,99.57,11.32,73.5,51.84,99.94,36.13,71.57,39.55,69.77,21.85,11.6,28.7,28.99,19.08,15.11
2025/6/10 0:00,44.69,51.35,4144.43,4224.11,2707.96,380.56,551.78,477.92,389.37,507.38,409.89,460.7,400.15,5185.58,2802.19,5353.47,3846.11,3507.91,70.41,57.11,48.61,52.63,65.02,279.37,294.39,288.96,255.52,204.1,0.51,0.77,3.66,1.42,4.33,3.86,4.66,4.76,0.81,3.82,35.09,73.97,55.34,50.33,27.1,71.16,86.8,86.21,27.01,70.57,23.51,29.55,17.61,9.99,17.03
2025/6/10 0:00,45.69,57.56,2109.62,3483.89,2777.29,410.76,392.59,429.69,406.64,451.84,389.33,499.24,390.74,3185.23,5354.83,4908.83,1834.92,3527.91,79.79,79.38,78.28,77.36,62.06,217.38,245.47,239,213.99,277.5,1.71,0.35,2.57,0.12,1.6,1.84,1.88,3.83,0.44,2.67,28.83,10.36,25.86,31.12,49.99,73.25,11.05,61.85,51.29,39.26,19.45,12.12,21.73,27.54,6.86
2025/6/10 0:00,63.07,44.59,3728.22,1141.24,1455.65,515.59,557.07,506.45,508.5,570,535.33,552.03,496,2659.43,3135.12,3506.99,4674.56,4105.47,49.82,75.03,57.17,53.13,51.82,295.97,288.06,220.64,221,263.69,4.38,3.74,1.79,0.83,1.6,2.55,4.3,3.77,3.03,0.7,90.03,53.52,72.06,46.02,31.22,47.19,16.22,17.08,95.02,20.05,27.1,12.99,16.03,16.12,20.01
2025/6/10 0:00,45.51,56.33,3854.47,2022.89,2590.25,562.39,546.38,551.36,540.84,435.86,482.13,500.36,454.84,2131.02,3355.34,1582.14,5411.05,5141.69,72.58,76.25,62.56,55.3,73.14,211.2,235.76,218.6,231.93,218.14,1.07,0.53,1.52,2.95,0.64,1.25,0.55,1.52,0.59,3.95,12.07,67.32,46.99,70.6,67.96,55.9,16.81,45.93,14.27,47.36,10.48,8.88,26.95,7.88,14.6
2025/6/10 0:00,59.35,66.27,3527.58,3486.03,2696.74,548.71,404.23,481.36,503.17,501.86,516.11,519.81,451.09,3584.88,3113.19,2522.91,1720.54,5401.08,78.62,65.4,53.12,67.67,77.12,250.84,220.52,201.46,286.44,273.07,3.97,3.58,4.81,4.81,1.97,1.13,3.26,4.38,1.07,0.84,91.54,90.88,95.78,53.89,37.56,86.3,72.9,93.48,73.89,82.51,20.73,13.9,8.02,27.44,6.1
2025/6/10 0:00,63.54,51.86,4254.91,3881.31,1754.39,516.11,505.91,511.57,458.68,434.73,504.22,496.54,547.32,2435.22,3300.58,3490.4,1807.12,5340.77,77.52,72.49,78.63,70.93,68.31,207.48,205.29,249.56,285.49,215.84,3.32,1.35,4.76,4.82,4.49,1.69,2.07,4.88,0.39,4.41,12.09,18.84,45.38,85.98,16.51,71.58,18.82,76.23,13,49.98,8.76,23.59,17.3,26.2,20.05
2025/6/10 0:00,60.6,43.68,962.18,1302.1,3071.27,410.34,481.85,408.67,559.07,429.67,516.06,470.48,501.66,3337.09,3758.27,2008.06,1829.06,4280.82,69.07,67.38,48.46,72.91,75.63,283.72,254.65,219.3,237.21,241.76,4.41,1.56,1.31,4.41,0.9,4.17,0.34,3.04,0.74,2.24,13.84,48.25,93.91,22.4,85.96,40.56,67.09,67.62,56.91,69.43,28.2,9.17,24.34,29.52,23.84
2025/6/10 0:00,87.5,42.58,4207.92,3435.49,1919.83,425.38,451.47,470.47,513.35,569.68,407.52,537.49,450.47,4919.4,3880.36,3816.24,4198.37,4473.11,52.15,72.58,62.42,76.85,48.65,274.72,297.82,237.85,244.82,212.3,2.88,3.73,1.18,4.16,2.06,0.31,3.54,1.66,2.47,1.95,51.34,17.85,46.18,68.32,57.97,49.9,80,87,89.48,83.5,16.97,15.04,8.55,8.57,8.41
2025/6/10 0:00,77.09,42.94,3799.28,981.3,1809.4,531.5,545.11,425.01,562.89,419.11,488.83,454.1,553.45,2558.47,4450.07,3023.73,2993.95,1611.21,62.67,73.11,68.43,53.72,75.3,281.72,252.93,202.46,247.79,215.57,2.65,4.6,0.86,1.13,0.74,1.61,2.79,2.69,3.95,3.79,21.12,30.11,26.2,94.62,20.48,53.85,53.94,54.42,91.11,78.11,23.38,8.22,20.96,22.98,7.24
2025/6/10 0:00,107.74,106.77,2853.01,2116.32,2313.09,434.36,521.72,509.98,540.16,456.81,399.72,388.61,552.12,3414.42,4842.17,2397.58,3065.37,5164.65,61.57,51.16,48.65,50.44,57.46,232.88,238.59,215.6,295.98,279.02,2.8,1.15,4.23,3.03,3.53,4.89,3.29,2.4,2.2,2.72,20.82,38.46,51.22,81.28,51.27,83.22,20.95,56.31,97.56,80.22,8.06,26.36,8.85,5.34,7.5
2025/6/10 0:00,76.19,70.41,521.92,3673.78,3665.3,475.59,440.8,487.4,433.55,487.37,442.14,495.34,511.09,3968.44,2785.27,4629.58,4837.48,3368.71,62.84,46.6,52.83,51.52,66.75,261.09,264.64,253.25,214.64,244.11,2.93,3.38,3.79,0.58,1.16,2.94,2.91,2.73,3.07,2.29,51.99,49.74,56.24,73.46,14.2,28.41,64.84,45.61,30.61,34.72,24.53,6.29,6.1,8.22,13.65
2025/6/10 0:00,108.23,61.66,2057.26,4257.3,3164.01,398,539.85,554.5,409.94,413.47,409.99,566.06,569.06,2129.23,4245.47,3907.86,2534.44,5337.02,46.72,65.51,69.31,69.56,73.3,269.46,297.37,202.92,265.77,272.74,4.98,1.99,2.57,2.01,4.77,4.63,3.04,3.46,4.01,3.9,57.41,94.78,47.9,89.67,56.94,11.09,49.19,57.74,50.54,95.02,29.97,22.97,20.27,25.17,15.3
2025/6/10 0:00,69.97,71.42,1901.01,4225.15,1124.88,389.24,389.65,465.61,487.69,383.41,531.25,383.71,541.38,4740.28,2943.03,2453.97,3452.41,2107.09,76.49,46.34,45.78,74.73,59.64,266.47,212.67,280.25,211.75,263.96,4.51,3.05,4.49,4.14,2.51,1.85,3.96,2.33,1.51,4.72,16.33,21.79,66.05,82.39,88.26,41.91,55.33,22.35,30.3,37.47,26.17,29.03,19.07,20.36,13.95
