Datetime,P0001,P0002,P0003,P0004,P0005,P0006,P0007,P0008,P0009,P0010,P0011,P0012,P0013,P0014,P0015,P0016,P0017,P0018,P0019,P0020,P0021,P0022,P0023,P0024,P0025,P0026,P0027,P0028,P0029,P0030,P0031,P0032,P0033,P0034,P0035,P0036,P0037,P0038,P0039,P0040,P0041,P0042,P0043,P0044,P0045,P0046,P0047,P0048,P0049,P0050,P0051,P0052,P0053,P0054,P0055,P0056,P0057,P0058,P0059,P0060,P0061,P0062,P0063,P0064,P0065,P0066,P0067,P0068,P0069,P0070,P0071,P0072,P0073,P0074,P0075,P0076,P0077,P0078,P0079,P0080,P0081,P0082,P0083,P0084,P0085,P0086,P0087,P0088,P0089,P0090,P0091,P0092,P0093,P0094,P0095,P0096,P0097,P0098,P0099,P0100
,Generator Electrical Output,Turbine Shaft Output,Gross Electrical Output,Net Electrical Output,Rotor Speed,Shaft Speed,Compressor Speed,Turbine Inlet Temperature 1,Turbine Inlet Temperature 2,Turbine Inlet Temperature 3,Turbine Inlet Temperature 4,Turbine Inlet Temperature 5,Turbine Inlet Temperature 6,Turbine Inlet Temperature 7,Turbine Inlet Temperature 8,Turbine Inlet Temperature 9,Turbine Inlet Temperature 10,Turbine Exhaust Temperature 1,Turbine Exhaust Temperature 2,Turbine Exhaust Temperature 3,Turbine Exhaust Temperature 4,Turbine Exhaust Temperature 5,Turbine Exhaust Temperature 6,Turbine Exhaust Temperature 7,Turbine Exhaust Temperature 8,Turbine Exhaust Temperature 9,Turbine Exhaust Temperature 10,Compressor Inlet Temperature 1,Compressor Inlet Temperature 2,Compressor Inlet Temperature 3,Compressor Inlet Temperature 4,Compressor Inlet Temperature 5,Compressor Outlet Temperature 1,Compressor Outlet Temperature 2,Compressor Outlet Temperature 3,Compressor Outlet Temperature 4,Compressor Outlet Temperature 5,Compressor Inlet Pressure 1,Compressor Inlet Pressure 2,Compressor Inlet Pressure 3,Compressor Inlet Pressure 4,Compressor Inlet Pressure 5,Compressor Outlet Pressure 1,Compressor Outlet Pressure 2,Compressor Outlet Pressure 3,Compressor Outlet Pressure 4,Compressor Outlet Pressure 5,Steam Pressure Stage 1,Steam Pressure Stage 2,Steam Pressure Stage 3,Steam Pressure Stage 4,Steam Pressure Stage 5,Steam Temperature Stage 1,Steam Temperature Stage 2,Steam Temperature Stage 3,Steam Temperature Stage 4,Steam Temperature Stage 5,Steam Temperature Stage 6,Steam Temperature Stage 7,Steam Temperature Stage 8,Fuel Flow 1,Fuel Flow 2,Fuel Flow 3,Fuel Flow 4,Fuel Flow 5,Lube Oil Temperature 1,Lube Oil Temperature 2,Lube Oil Temperature 3,Lube Oil Temperature 4,Lube Oil Temperature 5,Lube Oil Pressure 1,Lube Oil Pressure 2,Lube Oil Pressure 3,Lube Oil Pressure 4,Lube Oil Pressure 5,Bearing Vibration 1,Bearing Vibration 2,Bearing Vibration 3,Bearing Vibration 4,Bearing Vibration 5,Bearing Vibration 6,Bearing Vibration 7,Bearing Vibration 8,Bearing Vibration 9,Bearing Vibration 10,Valve Position 1,Valve Position 2,Valve Position 3,Valve Position 4,Valve Position 5,Valve Position 6,Valve Position 7,Valve Position 8,Valve Position 9,Valve Position 10,Guide Vane Angle 1,Guide Vane Angle 2,Guide Vane Angle 3,Guide Vane Angle 4,Guide Vane Angle 5
,MW,MW,MW,MW,rpm,rpm,rpm,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,kPa,kPa,kPa,kPa,kPa,kPa,kPa,kPa,kPa,kPa,kPa,kPa,kPa,kPa,kPa,°C,°C,°C,°C,°C,°C,°C,°C,kg/h,kg/h,kg/h,kg/h,kg/h,°C,°C,°C,°C,°C,kPa,kPa,kPa,kPa,kPa,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,%,%,%,%,%,%,%,%,%,%,°,°,°,°,°
2025-06-10 00:00:00,71.26,51.37,64.7,58.25,8271.54,8737.31,9144.88,1132.12,1158.67,1108.14,1091.79,1040.68,1031.3,1040.25,1051.09,1209.39,1121.85,534.18,527.34,453.51,614.13,465.2,535.78,587.96,479.1,490.12,528.58,37.19,16.15,39.51,29.43,39.24,245.06,284.8,218.87,348.1,192.95,107.56,96.68,109.85,106.53,109.2,1356.97,1332.57,1596.93,1129.69,1189.07,2541.27,4026.5,1376.39,2098.96,531.41,436.13,497.83,412.48,441.02,502.85,426.24,562.66,460.97,4945.64,5360.43,5448.58,2312.41,3201.06,67.92,57.43,49.03,64.27,45.25,298.57,202.43,226.81,277.46,217.63,2.8,1.43,4.86,2.29,1.4,4.61,2.4,2.71,2.59,1.62,96.88,98.61,47.67,24.87,55.34,70.08,57.67,89.25,64.8,82.52,25.79,28.45,7.31,11.6,8.95
2025-06-10 00:00:01,85.23,90.55,51.65,76.83,8851.55,8227.92,8869.66,1148.42,1154.07,1129.66,1072.67,1145.89,1155.71,1051.07,1127.15,1102.56,1106.48,504.09,526.48,581.28,605.12,502.38,501.48,475.8,496.12,455.15,555.74,25.45,30.15,22.19,24.61,36.92,248.48,358.14,339.99,343.34,352.85,101.72,96.58,100.11,104.84,102.24,1440.34,1573.16,1287.44,1151.84,1203.75,816.83,2064.58,501.63,3683.19,1957.45,506.5,456.52,562.57,538.85,494.23,496.92,512.86,529.94,2151.57,1867.53,2366.35,4788.22,4197.0,46.69,58.05,71.66,66.39,58.68,262.34,225.26,282.79,296.64,215.46,1.43,0.69,4.77,2.17,1.28,3.76,3.22,3.88,2.31,3.41,99.57,11.32,73.5,51.84,99.94,36.13,71.57,39.55,69.77,21.85,11.6,28.7,28.99,19.08,15.11
2025-06-10 00:00:02,44.69,51.35,44.2,101.86,9486.43,9028.04,8209.05,1215.21,1158.01,1204.21,1084.0,1036.52,1032.09,1168.0,1071.25,1166.83,1122.18,487.96,562.94,535.11,461.76,610.82,544.74,506.51,577.24,544.58,512.62,37.48,28.64,27.3,27.37,20.82,250.63,270.08,205.88,357.43,341.55,99.06,101.88,97.16,106.78,106.08,1336.11,1364.34,1265.39,1439.38,1583.26,984.23,3758.36,4144.43,4224.11,2707.96,380.56,551.78,477.92,389.37,507.38,409.89,460.7,400.15,5185.58,2802.19,5353.47,3846.11,3507.91,70.41,57.11,48.61,52.63,65.02,279.37,294.39,288.96,255.52,204.1,0.51,0.77,3.66,1.42,4.33,3.86,4.66,4.76,0.81,3.82,35.09,73.97,55.34,50.33,27.1,71.16,86.8,86.21,27.01,70.57,23.51,29.55,17.61,9.99,17.03
2025-06-10 00:00:03,45.69,57.56,51.72,82.97,9196.43,9713.35,8267.08,1040.99,1161.17,1047.71,1147.8,1117.57,1078.05,1104.53,1080.6,1092.8,1187.89,549.21,459.18,560.43,608.45,464.54,596.07,517.39,581.42,488.98,542.13,37.58,26.91,24.37,32.66,18.49,304.84,229.08,378.86,272.54,297.27,104.46,97.8,107.1,96.94,95.28,1398.06,1439.94,1569.15,1207.66,1576.82,4053.09,3151.94,2109.62,3483.89,2777.29,410.76,392.59,429.69,406.64,451.84,389.33,499.24,390.74,3185.23,5354.83,4908.83,1834.92,3527.91,79.79,79.38,78.28,77.36,62.06,217.38,245.47,239.0,213.99,277.5,1.71,0.35,2.57,0.12,1.6,1.84,1.88,3.83,0.44,2.67,28.83,10.36,25.86,31.12,49.99,73.25,11.05,61.85,51.29,39.26,19.45,12.12,21.73,27.54,6.86
2025-06-10 00:00:04,63.07,44.59,89.7,78.37,9566.07,8216.98,9516.71,1141.58,1189.81,1080.77,1096.58,1043.16,1180.99,1045.02,1089.87,1167.34,1216.92,571.42,501.22,569.65,589.48,495.96,554.04,547.09,451.92,570.01,566.35,27.96,38.34,32.8,22.45,32.63,186.46,278.88,252.77,273.59,204.69,98.72,101.31,99.58,103.73,97.13,1582.95,1311.89,1594.4,1226.74,1468.55,1356.28,2003.26,3728.22,1141.24,1455.65,515.59,557.07,506.45,508.5,570.0,535.33,552.03,496.0,2659.43,3135.12,3506.99,4674.56,4105.47,49.82,75.03,57.17,53.13,51.82,295.97,288.06,220.64,221.0,263.69,4.38,3.74,1.79,0.83,1.6,2.55,4.3,3.77,3.03,0.7,90.03,53.52,72.06,46.02,31.22,47.19,16.22,17.08,95.02,20.05,27.1,12.99,16.03,16.12,20.01
2025-06-10 00:00:05,45.51,56.33,58.58,86.92,7731.52,9663.04,7888.36,1094.62,1121.0,1205.9,1075.2,1085.44,1196.22,1149.07,1042.45,1054.94,1130.25,491.47,565.33,461.5,473.1,522.88,529.16,578.44,481.79,618.47,602.68,15.18,20.74,22.33,33.73,19.57,297.67,349.17,250.05,190.87,303.06,108.56,102.99,109.83,108.1,98.81,1478.67,1317.01,1463.43,1151.47,1401.64,4185.57,4358.84,3854.47,2022.89,2590.25,562.39,546.38,551.36,540.84,435.86,482.13,500.36,454.84,2131.02,3355.34,1582.14,5411.05,5141.69,72.58,76.25,62.56,55.3,73.14,211.2,235.76,218.6,231.93,218.14,1.07,0.53,1.52,2.95,0.64,1.25,0.55,1.52,0.59,3.95,12.07,67.32,46.99,70.6,67.96,55.9,16.81,45.93,14.27,47.36,10.48,8.88,26.95,7.88,14.6
2025-06-10 00:00:06,59.35,66.27,58.46,104.91,7956.79,9372.11,7590.95,1077.4,1173.44,1083.04,1136.71,1058.74,1211.57,1194.39,1173.28,1158.56,1214.76,491.25,522.52,492.03,535.41,523.72,461.4,470.17,458.53,585.88,539.71,20.65,33.84,35.7,36.42,35.24,359.43,262.35,197.26,226.14,354.27,97.4,109.6,107.13,100.02,102.65,1346.36,1388.54,1274.32,1519.17,1290.71,1493.06,731.99,3527.58,3486.03,2696.74,548.71,404.23,481.36,503.17,501.86,516.11,519.81,451.09,3584.88,3113.19,2522.91,1720.54,5401.08,78.62,65.4,53.12,67.67,77.12,250.84,220.52,201.46,286.44,273.07,3.97,3.58,4.81,4.81,1.97,1.13,3.26,4.38,1.07,0.84,91.54,90.88,95.78,53.89,37.56,86.3,72.9,93.48,73.89,82.51,20.73,13.9,8.02,27.44,6.1
2025-06-10 00:00:07,63.54,51.86,104.36,104.69,9480.29,8683.71,8994.96,1162.93,1150.2,1177.1,1096.18,1210.53,1192.43,1165.49,1043.38,1062.99,1112.18,550.25,550.54,513.11,505.28,452.1,582.46,584.33,546.25,453.7,572.69,29.55,39.42,38.9,33.41,36.7,278.22,288.73,259.47,203.87,255.77,100.52,109.36,96.93,104.4,101.04,1299.15,1481.46,1577.85,1475.16,1560.33,4165.34,1829.16,4254.91,3881.31,1754.39,516.11,505.91,511.57,458.68,434.73,504.22,496.54,547.32,2435.22,3300.58,3490.4,1807.12,5340.77,77.52,72.49,78.63,70.93,68.31,207.48,205.29,249.56,285.49,215.84,3.32,1.35,4.76,4.82,4.49,1.69,2.07,4.88,0.39,4.41,12.09,18.84,45.38,85.98,16.51,71.58,18.82,76.23,13.0,49.98,8.76,23.59,17.3,26.2,20.05
