,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
,Generator Electrical Output,Turbine Shaft Output,Gross Electrical Output,Net Electrical Output,Rotor Speed,Shaft Speed,Compressor Speed,Turbine Inlet Temperature 1,Turbine Inlet Temperature 2,Turbine Inlet Temperature 3,Turbine Inlet Temperature 4,Turbine Inlet Temperature 5,Turbine Inlet Temperature 6,Turbine Inlet Temperature 7,Turbine Inlet Temperature 8,Turbine Inlet Temperature 9,Turbine Inlet Temperature 10,Turbine Exhaust Temperature 1,Turbine Exhaust Temperature 2,Turbine Exhaust Temperature 3,Turbine Exhaust Temperature 4,Turbine Exhaust Temperature 5,Turbine Exhaust Temperature 6,Turbine Exhaust Temperature 7,Turbine Exhaust Temperature 8,Turbine Exhaust Temperature 9,Turbine Exhaust Temperature 10,Compressor Inlet Temperature 1,Compressor Inlet Temperature 2,Compressor Inlet Temperature 3,Compressor Inlet Temperature 4,Compressor Inlet Temperature 5,Compressor Outlet Temperature 1,Compressor Outlet Temperature 2,Compressor Outlet Temperature 3,Compressor Outlet Temperature 4,Compressor Outlet Temperature 5,Compressor Inlet Pressure 1,Compressor Inlet Pressure 2,Compressor Inlet Pressure 3,Compressor Inlet Pressure 4,Compressor Inlet Pressure 5,Compressor Outlet Pressure 1,Compressor Outlet Pressure 2,Compressor Outlet Pressure 3,Compressor Outlet Pressure 4,Compressor Outlet Pressure 5,Steam Pressure Stage 1,Steam Pressure Stage 2,Steam Pressure Stage 3,Steam Pressure Stage 4,Steam Pressure Stage 5,Steam Temperature Stage 1,Steam Temperature Stage 2,Steam Temperature Stage 3,Steam Temperature Stage 4,Steam Temperature Stage 5,Steam Temperature Stage 6,Steam Temperature Stage 7,Steam Temperature Stage 8,Fuel Flow 1,Fuel Flow 2,Fuel Flow 3,Fuel Flow 4,Fuel Flow 5,Lube Oil Temperature 1,Lube Oil Temperature 2,Lube Oil Temperature 3,Lube Oil Temperature 4,Lube Oil Temperature 5,Lube Oil Pressure 1,Lube Oil Pressure 2,Lube Oil Pressure 3,Lube Oil Pressure 4,Lube Oil Pressure 5,Bearing Vibration 1,Bearing Vibration 2,Bearing Vibration 3,Bearing Vibration 4,Bearing Vibration 5,Bearing Vibration 6,Bearing Vibration 7,Bearing Vibration 8,Bearing Vibration 9,Bearing Vibration 10,Valve Position 1,Valve Position 2,Valve Position 3,Valve Position 4,Valve Position 5,Valve Position 6,Valve Position 7,Valve Position 8,Valve Position 9,Valve Position 10,Guide Vane Angle 1,Guide Vane Angle 2,Guide Vane Angle 3,Guide Vane Angle 4,Guide Vane Angle 5
,MW,MW,MW,MW,rpm,rpm,rpm,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,kPa,kPa,kPa,kPa,kPa,kPa,kPa,kPa,kPa,kPa,kPa,kPa,kPa,kPa,kPa,°C,°C,°C,°C,°C,°C,°C,°C,kg/h,kg/h,kg/h,kg/h,kg/h,°C,°C,°C,°C,°C,kPa,kPa,kPa,kPa,kPa,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,%,%,%,%,%,%,%,%,%,%,°,°,°,°,°
2025/6/11 14:30,50.9,61.44,54.09,84.51,8637.34,9057.84,8720.99,1156.29,1205.35,1080.96,1035.65,1040.03,1140.09,1211.71,1073.48,1138.78,1046.37,559.42,527.76,554.28,503.88,534.12,606.63,538.41,601.99,551.07,498.45,16.37,31.75,35.34,28.69,35.35,188.7,246.78,360.65,250.81,204.24,101.23,102.29,96.01,102.18,98.43,1415.49,1257.39,1561.07,1574.13,1451.34,1995.66,2283.32,1475.65,4478.99,2714.92,521.36,437.22,442.56,419.6,428.28,506.29,489.2,474.59,1746.08,3241.17,3668.05,3085.08,3474.78,70.31,63.3,73.45,69.8,47.89,299.85,279.8,286.05,234.15,271.18,3.57,4.17,0.9,3.48,0.27,3.91,2.51,4.76,2.06,2.72,91.65,70.25,13.23,15.77,58.82,25.92,99.76,78.82,26.56,60.96,19.68,22.29,26.9,11.14,26.18
2025/6/11 14:30,45.12,58.3,45.62,59.86,9266.81,9765.33,9355.25,1138.04,1073.76,1090.5,1172.31,1167.91,1156.73,1044.89,1153.41,1174.67,1134.25,498.01,482.96,582.01,531.6,506.05,494.86,575.87,585.95,459.69,538.18,39.87,38.65,38.74,21.58,31.47,194.7,235.89,296.85,363.41,230.68,97.79,102.61,101.04,105.71,99.68,1523.82,1280.99,1318,1155.56,1317.09,949.57,607.99,3564.2,1581.5,1498.96,452.16,425.64,486.19,400.88,429.05,409.63,494.47,393.25,1929.71,3099.89,3708.13,3297.07,2674.94,50.94,63.41,59.42,61.22,64.09,274.5,267.1,293.41,229.11,268.1,4.75,1.73,0.55,2.85,1.29,1.99,4.71,2.2,2.95,3.64,10.7,76.04,25.58,97.44,35.1,99.04,28,44.27,44.69,25.04,21.87,21.47,15.69,26.41,11.08
2025/6/11 14:30,48.59,54.57,107.33,88.93,9683.75,8222.84,8751.07,1216.88,1079.45,1183.52,1110.34,1065.73,1093.39,1151.78,1090.54,1102.22,1196.46,546.52,613.76,551.12,602.62,477.34,473.27,582.2,591.15,516.04,467.4,27.84,33.56,19.08,35.26,36.26,260.44,364.17,259.45,247.51,186.31,99.52,109.64,96.04,104.05,106.89,1186.19,1353.36,1368.42,1535.44,1369.06,1564.84,1843.25,2294.85,2566.63,2397.41,485.82,542.42,553.87,532.95,563.32,394.18,440.69,569.97,1516.17,3640.52,3519.02,1877.08,2901.47,57.1,55.22,67.52,45.62,61.07,276.72,261.19,291.44,215.14,289,4.99,0.53,1.35,1.49,0.46,4.58,3.32,3.79,4.41,1.4,66.87,45.07,22.11,83.17,40.1,31.53,82.61,17.61,18.59,64.23,22.93,22.81,13.07,27.26,13.17
2025/6/11 14:30,70.58,106.46,103.02,102.27,9548.12,8371.16,9213.52,1061.28,1186.65,1181.76,1057.05,1184.56,1119.57,1030.31,1040.83,1094.21,1094.69,477.61,515.78,497.29,533.33,492.44,517.97,534.66,613.28,591.23,595.06,35.77,15.66,17.64,37.82,38.22,369.78,377.28,375.39,200.85,373.56,98.03,101.28,102.52,99.4,105.58,1253.1,1406,1378.61,1446.2,1164.97,2266.83,4455.32,1976.58,2814.94,3750.11,438.41,532.64,532.92,415.72,508.99,551.15,442.39,402.37,2570.85,2023.99,2837.59,4929.92,2919.06,63.43,51.38,55.11,72.23,58.89,255.85,225.92,260.59,254.84,215.62,4.08,4.55,1.56,2.51,1.9,3.12,1.64,0.72,0.15,1.55,96.86,96.73,59.31,67.27,92.03,87.11,47.25,61.61,31.6,29.16,6.97,18.89,8.63,9.57,9.01
2025/6/11 14:30,42.82,59.01,40.73,59.38,8572.53,7809.62,8777.02,1174.47,1035.9,1033.65,1057.64,1157.07,1205.33,1066.29,1059.59,1195.48,1156.99,457,515.38,534.84,479.35,580.91,459.59,503.98,518.32,540.5,506.07,35.76,18.45,20.66,39.49,22.07,196.25,186.58,279.09,262.65,204.61,109.2,109.37,107.5,109.06,95.57,1550.91,1417.32,1383.15,1390.3,1502.14,2232.62,4194.5,2120.06,505.23,4293.99,400.69,502.03,414.73,428.01,384.15,508.7,410.51,404.18,2533.06,3820.46,4488.37,3032.72,4487.42,57.92,55.55,49.61,45.7,46.69,294.63,298.84,288.16,218.63,214.89,3.26,0.29,1.99,1.12,3.21,4.94,2.93,2.39,2.97,2.61,17.18,30.31,49.14,31.98,22.37,63.92,37.15,41.9,81.25,54.69,12,19.64,11.4,21.84,6.31
2025/6/11 14:30,108.69,98.36,45.19,50.97,8299.4,9005.88,8793.78,1206.56,1073.7,1189.54,1091.02,1032.13,1158.7,1066.86,1103.89,1034.25,1146.92,565.14,476.13,602.17,509.42,560.67,494.36,607.93,601.82,495.56,561.58,25.1,37.44,38.65,17.3,18.56,239.39,317.2,248.27,357.3,214.13,108.86,96.91,107.23,104.77,106,1591.38,1221.17,1359.86,1374.5,1360.23,1091.65,3544.39,834.22,3220,1783.76,533.06,505.32,408.8,535.41,484.16,433.14,380.19,538.77,4634.13,1747.42,3303.34,3831.13,4432.65,66.4,69.92,47.29,58.8,77.57,266.3,245.24,299.41,291.97,293.12,4.83,2.42,1.5,4.68,0.99,2.15,3.43,0.91,4.65,1.51,87.86,51.88,39.05,12.17,37.48,63.38,20.39,23.84,10.73,70.99,17.29,26.19,17.23,14.84,22.63
2025/6/11 14:30,51.51,45.05,40.02,99.44,9289.98,8005.5,9346.13,1215.2,1051.3,1032.33,1179.98,1050.22,1144.57,1065.71,1057.86,1131.01,1168.35,535.68,553.08,482.84,550.43,499.57,579.28,588.53,600.67,500.98,523.08,19.96,28.48,26.73,37.08,18.11,332.43,337.27,192.62,211.84,295.89,103.11,105.27,104.74,99.63,105.94,1445.82,1206.77,1240.86,1550.06,1425.35,3887.55,3041.51,4124.73,3836.24,3872.24,448.31,543.95,382.16,526.94,442.75,425.14,511.36,456.17,4840.65,3862.44,4546.82,1990.3,3377.14,64.89,53.8,68.84,75.26,48.53,214.2,225.84,216.08,209.76,269.61,1.03,2.9,2.26,3.65,0.73,3.54,0.18,2.03,3.78,4.98,25.6,11.03,60.44,62.46,29.96,13.34,44,28.71,15.86,58.65,10.03,11.12,10.93,26.26,8.28
2025/6/11 14:30,95.62,86.64,98.59,78.01,7999.62,9700.44,8802.92,1182.75,1062.79,1117.15,1153.13,1180.43,1089.41,1217.54,1198.28,1098.58,1059.44,594.2,500.3,584.75,463.97,488.71,578.24,508.52,575,498.78,526.52,35.03,18.51,19.56,20.19,30.65,360.95,307.92,309.22,241.58,294.74,100.51,99.65,97.31,107.96,97.39,1560.08,1209.6,1229.63,1285.38,1533.21,1968.03,3310.59,2958.73,4166.84,4416.27,568.47,491.49,388.74,549.53,393.45,454.02,488.82,522.16,2682.19,2704.27,4899.89,3585.09,4762.12,64.14,65.03,64.57,76.63,68.4,284.07,207.72,287.63,222.38,295.27,1.88,3.56,4.44,0.36,0.14,2.19,2.61,1.08,3.07,3.62,14.64,30.04,20.97,50.91,31.92,75.07,34.59,54.18,18.93,35.74,26.65,8.75,17.04,10.3,11.01
